round,test_acc,test_loss,train_loss,val_acc
0,0.0772,2.312149524307251,2.312409241743034,3.836000005185602
1,0.0772,2.3121495300292967,2.3124092291468203,3.8360000092387185
2,0.0772,2.312149649810791,2.3125619989304638,3.7280000053942186
3,0.0772,2.3121495658874514,2.3125619939302515,3.7280000084936593
4,0.0772,2.3121496154785155,2.3125620603587933,3.7280000095069394
5,0.0772,2.312149783706665,2.312562136111336,3.732000008538364
6,0.0772,2.3121497314453126,2.3125620636148994,3.7320000038743006
7,0.0772,2.3121497627258303,2.3125620551728967,3.7320000047832704
8,0.0772,2.3121497734069822,2.312562077203007,3.7320000114142875
9,0.0772,2.3121497699737548,2.312562066413425,3.7320000024586895
10,0.0772,2.3121497299194336,2.312562065902794,3.7320000040978174
11,0.0772,2.312149739456177,2.312562070604584,3.7320000052452063
12,0.0772,2.3121497352600096,2.312562061373425,3.7320000050514914
13,0.0772,2.3121495197296142,2.3126148800448565,3.6840000064372997
14,0.0772,2.312149678039551,2.31251913869956,3.6320000085234625
15,0.0772,2.312149594116211,2.312519090218671,3.632000006139277
16,0.0772,2.312149653625488,2.312401826154264,3.5640000099688747
17,0.0772,2.31214942817688,2.312390744483561,3.5080000098943698
18,0.0772,2.3121494205474855,2.3123908033430585,3.5080000018477415
19,0.0772,2.312149599456787,2.3121469078746677,3.3400000042319284
20,0.0772,2.3121495571136474,2.312146868547501,3.3400000032037482
21,0.0772,2.3121496513366697,2.312146945132781,3.3400000064969046
22,0.0772,2.312149588012695,2.3121469486645716,3.340000006407497
23,0.0772,2.3121495800018312,2.3121469344691996,3.3400000017732365
24,0.0772,2.3121495929718017,2.3121469408582542,3.3400000065118056
25,0.0772,2.312149543762207,2.3121469549247835,3.340000005036591
26,0.0772,2.3121495727539063,2.312146936394252,3.3400000080764274
27,0.0772,2.3121497230529786,2.3122493273782774,3.2600000109821545
28,0.0772,2.312149678039551,2.3123170995982845,3.1880000047683708
29,0.0772,2.312149690628052,2.312317044410273,3.1880000088661897
30,0.0772,2.312149624633789,2.3123632408350265,3.1360000041723235
31,0.0772,2.3121496730804445,2.312370594225834,3.8880000107437356
32,0.0772,2.3121495628356934,2.3123706143561287,3.8920000082701423
33,0.0772,2.312149607849121,2.312428366374276,3.8200000084489565
34,0.0772,2.3121496841430664,2.3125747307612348,3.4000000079423174
35,0.0772,2.312149676132202,2.3123706759566143,3.892000007107852
36,0.0772,2.3121497398376465,2.3125237991891163,3.4880000064074976
37,0.0772,2.3121495864868162,2.3123705796406013,3.8920000065863114
38,0.0772,2.312149560928345,2.3123705761518596,3.89200000888109
