round,test_acc,test_loss,train_loss,val_acc
0,0.3404,2.0425340589523318,2.040472649996367,16.587999961972237
1,0.3628,1.921284896850586,1.918870409400823,17.839999984383585
2,0.3792,1.904358833885193,1.9009644532076349,18.719999999046326
3,0.394,1.8585362159729004,1.855305101906505,19.21200000822544
4,0.4025,1.8590476579666138,1.8542402177118011,19.511999997496606
5,0.4074,1.8413786539077759,1.8353559802816772,19.8959999935627
6,0.4164,1.8246998058319093,1.8182370684780331,20.016000003814703
7,0.4068,1.8341416576385499,1.8267776106546652,19.779999993085863
8,0.4154,1.8133605403900146,1.8047689956052597,20.051999985933303
9,0.4159,1.8153497581481934,1.805713800527702,20.04000001382828
10,0.4154,1.8053805593490602,1.794463422492604,20.004000004768372
11,0.4161,1.7954016988754273,1.7834393893924343,19.93599996244908
12,0.4138,1.8101892030715943,1.7980513044288542,19.76799999165536
13,0.4153,1.800674464225769,1.7860960159346329,19.771999991655356
14,0.415,1.8137056657791137,1.8009334542881816,19.69200001192093
15,0.4147,1.7922035594940187,1.7745277963493151,19.88800000929832
16,0.4047,1.809117449951172,1.792847531838156,19.42799998617172
17,0.4044,1.7948017570495605,1.775587085881762,19.55599996352196
18,0.4038,1.7790398920059205,1.7589410307346898,19.62799997973442
19,0.4035,1.7795118467330933,1.758656494738422,19.56799999248981
20,0.4036,1.796995534324646,1.774278212599506,19.439999985456467
21,0.4006,1.7885017547607422,1.7647435024583604,19.53599999392032
22,0.4017,1.7850892246246337,1.7587913719324948,19.547999983072277
23,0.3941,1.7875920360565185,1.7617094473113044,19.291999996662142
24,0.3918,1.8004877393722534,1.775079753959131,19.164000007629394
25,0.3991,1.7850895792007446,1.7560624222029673,19.52799999189377
26,0.3981,1.7726408737182617,1.743746038403148,19.467999974727633
27,0.3913,1.7968747985839844,1.7668626216065897,19.26400002622604
28,0.388,1.801431213760376,1.7709183396548231,18.955999990701674
29,0.3845,1.7994518772125243,1.7664946430101889,18.907999983310695
30,0.3885,1.7844014389038085,1.7507588520546624,19.015999983191495
31,0.3872,1.7854610439300538,1.7506401475886002,19.04000001049041
32,0.3789,1.8039467651367187,1.769293020522801,18.8279999988079
33,0.3863,1.7848483337402343,1.7466610171002281,19.083999990582463
34,0.3815,1.8045836526870727,1.7681273224229646,18.639999977469447
35,0.3842,1.7849796968460083,1.745376442264969,18.827999970436093
36,0.3746,1.8012633518218994,1.7618053017184638,18.25999998068809
37,0.3799,1.7835785646438598,1.7406531585392873,18.835999989509574
38,0.3751,1.799757453918457,1.7589677229615175,18.523999998569487
39,0.3804,1.788346218109131,1.7458347591538936,18.619999984860424
40,0.3861,1.7818507972717286,1.7370882689714116,18.92399998760223
41,0.3689,1.8114296094894409,1.768757376422551,18.04399999237061
42,0.3777,1.7966417947769164,1.7493953290195745,18.720000001668925
43,0.3608,1.8194491680145264,1.7741710376071034,17.80399999248981
44,0.3683,1.8091323015213012,1.7614709157396222,17.975999975562097
45,0.3672,1.800923510169983,1.7528480754770805,18.119999996423726
46,0.3689,1.807523240852356,1.7613880339101737,18.023999975323676
47,0.3646,1.8059436033248901,1.7563047018515883,17.939999971389774
48,0.3689,1.795715019607544,1.7423569605028997,18.15999998772144
49,0.3583,1.8257174629211426,1.7773824558875586,17.551999996900555
50,0.3665,1.8050280994415284,1.7514384951642428,17.97199997973442
51,0.3613,1.811473148727417,1.759737484630183,17.823999970197676
52,0.3669,1.8012385723114013,1.7461858876429508,17.92799998497963
53,0.3685,1.7960416904449463,1.7420659905886935,18.088000000953674
54,0.3639,1.810633909225464,1.7542965194189026,17.995999978423114
55,0.3581,1.818675233078003,1.762865472798036,17.55199997735024
56,0.3664,1.802929034423828,1.7427683734384487,17.967999968290336
57,0.3588,1.8150525934219361,1.7580479293003264,17.568000017523765
58,0.3533,1.8274862464904784,1.771836782157501,17.49599997830391
59,0.3576,1.8150604419708252,1.7571216244563876,17.36400000274181
60,0.3627,1.812496441078186,1.7532022800878462,17.631999994873997
61,0.3525,1.8196986770629884,1.7585228110219193,17.51199995529651
62,0.3499,1.8265571187973022,1.7677223929671326,17.323999994039532
63,0.3534,1.8165090919494629,1.7544823777723377,17.540000010609635
64,0.3427,1.832413232421875,1.770031504958908,16.96399998474121
65,0.3525,1.8076096357345581,1.7434592859321665,17.651999972701073
66,0.3585,1.805115125656128,1.7392891795867595,17.579999971151352
67,0.3524,1.819350152015686,1.7540850943685056,17.303999976873396
68,0.3506,1.814942795944214,1.7474863010032151,17.48799998688698
69,0.3519,1.8189923238754273,1.753295140740709,17.53999996626377
70,0.3463,1.8281300939559937,1.7622184918050927,17.21999996185302
71,0.337,1.8529448148727417,1.7879557470867888,16.69999998772144
72,0.3495,1.8253416961669922,1.7589865344388784,17.335999972224233
73,0.3411,1.8327965351104736,1.7654509803768155,16.931999954223635
74,0.3461,1.8303373107910157,1.7611376833310908,17.243999980211257
75,0.3482,1.8340083774566651,1.7666693789745682,17.024000020384786
76,0.3478,1.831702597808838,1.7621138236774143,17.047999965906147
77,0.3453,1.8285902467727662,1.7554217337193259,17.344000003218646
78,0.3424,1.8471256931304931,1.7774569446317978,16.64399998390675
79,0.3415,1.8405473052978516,1.7714134715205048,16.8239999718666
80,0.3457,1.8314755392074584,1.7586981535244368,16.96799998819828
81,0.337,1.8427059192657471,1.7719267750741325,16.57999999308586
82,0.343,1.8366172649383545,1.7647826452630861,16.823999974370004
83,0.3468,1.8222513132095337,1.7448801823356284,17.231999963998803
84,0.3419,1.8338398759841918,1.7615530752371722,16.807999977231027
85,0.3431,1.8307836935043336,1.7564727437448433,16.971999954938884
86,0.3426,1.836838497543335,1.7599569034003448,17.075999957084658
87,0.3363,1.8437400150299073,1.7700079322466074,16.727999972224236
88,0.3456,1.8344524032592773,1.7561114922575707,16.955999977588654
89,0.3425,1.8366638011932372,1.7591460693503254,16.815999954938885
90,0.3404,1.83614352684021,1.7590307178134434,16.7639999922514
91,0.338,1.8510180866241455,1.773570261934252,16.491999985337255
92,0.3368,1.8431055606842042,1.7672701614912114,16.447999991655347
93,0.3309,1.8611148574829102,1.7850844395526737,16.127999987006184
94,0.3305,1.8598397485733031,1.7819816287305548,16.39599996984005
95,0.3344,1.8484791534423828,1.7679532805845162,16.555999984979625
96,0.3295,1.8568706451416015,1.7761471753763416,16.36799996781349
97,0.3408,1.8329208251953124,1.7502366606702153,16.87599998664856
98,0.331,1.856221630859375,1.7746600237643917,16.332000000476835
99,0.3332,1.8461724550247192,1.7634682236144315,16.27599996161461
100,0.3329,1.8454813385009765,1.7613302206101813,16.31999997031689
101,0.3416,1.8408375957489014,1.7556141691150584,16.715999978542325
102,0.3334,1.862570491218567,1.7803116246473016,16.452000016689297
103,0.3357,1.8395698947906494,1.7552062419609962,16.519999971270558
104,0.3319,1.8520867515563966,1.7643197702406566,16.33199998247623
105,0.3289,1.8629590324401855,1.7797634673309577,16.171999969959256
106,0.3275,1.8646345264434814,1.7802104574306623,16.207999957084656
107,0.3338,1.858550327682495,1.77032708747683,16.34399996590614
108,0.3319,1.8535009618759155,1.767484512701531,16.29199996638298
109,0.3238,1.8766695091247558,1.7919341139863427,16.02399998784065
110,0.3369,1.8491243169784546,1.7599459270991693,16.667999964237207
111,0.3296,1.8672189540863038,1.7783867274966836,16.391999979496006
112,0.3324,1.8533353057861328,1.7641978845481716,16.431999976396554
113,0.3314,1.8651849096298219,1.7795583889449396,16.167999983072278
114,0.3268,1.8758779594421386,1.7907230972320598,16.079999967217443
115,0.3285,1.8770637983322143,1.791509619768217,15.983999995946885
116,0.3281,1.8634631450653076,1.7736754434258333,16.063999981522556
117,0.3299,1.8603605308532716,1.7696291700097049,16.25599997162819
118,0.3343,1.8545575311660767,1.7615653440885464,16.227999960660938
119,0.3274,1.8667612827301026,1.7765162029030805,16.10799997746944
120,0.3267,1.864487456893921,1.7714119354491238,16.22799996870756
121,0.3264,1.854791259765625,1.7626669607334362,16.047999943852428
122,0.3251,1.8790467052459716,1.7862282547708828,15.975999967813493
123,0.3219,1.8725062068939209,1.7812998535859095,15.943999982476237
124,0.3253,1.8749864610671998,1.7839559469267585,15.871999963760372
125,0.3236,1.8723759386062622,1.7805031476829338,16.035999974846842
126,0.3288,1.866793229866028,1.7757217145921078,16.07599996244907
127,0.3216,1.8763649063110353,1.7862232465546668,15.775999955296513
128,0.3203,1.8743905933380127,1.78031364482299,15.79599998295307
129,0.3166,1.87379822807312,1.7808223554671048,15.643999970912933
130,0.3275,1.8575398956298828,1.7636130654795943,16.14399995088577
131,0.3192,1.8836402935028076,1.7898279464961058,15.80799996232986
132,0.3197,1.872682154083252,1.7779659317873513,15.923999965786933
133,0.3165,1.892426671409607,1.7996101314203445,15.51999996447563
134,0.322,1.8817840747833252,1.7828632370906772,15.915999986290934
135,0.316,1.889361219406128,1.7910691510787475,15.643999950647354
136,0.3146,1.890270188522339,1.7921093528356657,15.595999962568284
137,0.3156,1.8909426330566406,1.7938487506644905,15.58399996244907
138,0.316,1.889974370956421,1.7923147728509994,15.459999966025354
139,0.3206,1.882793621444702,1.7831969855337815,15.69999996399879
140,0.3232,1.8702732496261596,1.768977338825272,15.955999981880181
141,0.3154,1.8923645977020265,1.79125365946417,15.7479999666214
142,0.3185,1.8928869073867798,1.7953220674765606,15.695999967217448
143,0.3201,1.887486125946045,1.789593198585892,15.57599996960163
144,0.3164,1.8858109085083008,1.785392086171658,15.551999970793725
145,0.3198,1.8858342794418335,1.7844642550732006,15.735999975681306
146,0.3305,1.8667401790618896,1.762488947197974,16.219999990582465
147,0.3161,1.8919945297241212,1.7959151336857095,15.547999946832656
148,0.314,1.8956363985061646,1.7976681960058787,15.403999963283539
149,0.3153,1.8889519674301147,1.7866042913582043,15.551999973773961
150,0.3178,1.8939922050476075,1.7911143782683145,15.803999968528746
